match_id,gamer_id,round1_name,round1_type,round1_win,round2_name,round2_type,round2_win,round3_name,round3_type,round3_win,round4_name,round4_type,round4_win,round5_name,round5_type,round5_win,round6_name,round6_type,round6_win,crown,date_played
15,5,The Whirlygig,Race,t,Hoarders,Team,t,Slime Climb,Race,t,Jump Showdown,Final,f,,,,,,,f,2020-08-13
22,5,See Saw,Race,t,Perfect Match,Logic,t,Hoarders,Team,t,Block Party,Survival,t,Jump Showdown,Final,f,,,,f,2020-08-13
51,5,See Saw,Race,t,Hit Parade,Race,t,Fruit Chute,Race,t,Jump Showdown,Final,f,,,,,,,f,2020-08-14
37,5,Dizzy Heights,Race,t,Egg Scramble,Team,f,,,,,,,,,,,,,f,2020-08-14
30,5,Gate Crash,Race,t,Hoarders,Team,t,Fruit Chute,Race,t,Block Party,Survival,f,,,,,,,f,2020-08-14
23,5,The Whirlygig,Race,t,Tail Tag,Team,t,Hoopsie Daisy,Team,t,Block Party,Survival,f,,,,,,,f,2020-08-13
48,5,Dizzy Heights,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-14
24,5,Dizzy Heights,Race,t,See Saw,Race,t,Roll Out,Survival,t,Block Party,Survival,f,,,,,,,f,2020-08-13
45,5,Hit Parade,Race,t,Roll Out,Survival,t,Fruit Chute,Race,t,Tip Toe,Race,f,,,,,,,f,2020-08-14
31,5,Door Dash,Race,t,Hoarders,Team,t,Jump Club,Survival,t,Tip Toe,Race,t,Hex-a-Gone,Final,f,,,,f,2020-08-14
32,5,Dizzy Heights,Race,t,Slime Climb,Race,f,,,,,,,,,,,,,f,2020-08-14
52,5,Gate Crash,Race,t,,,,,,,,,,,,,,,,f,2020-08-14
49,5,Hit Parade,Race,t,Tail Tag,Team,t,Slime Climb,Race,t,Rock n Roll,Team,f,,,,,,,f,2020-08-14
39,5,Door Dash,Race,t,Slime Climb,Race,t,Tip Toe,Race,f,,,,,,,,,,f,2020-08-14
46,5,The Whirlygig,Race,t,Roll Out,Survival,t,Egg Scramble,Team,t,Block Party,Survival,t,Fall Mountain,Final,f,,,,f,2020-08-14
40,5,The Whirlygig,Race,t,Tail Tag,Team,t,Slime Climb,Race,f,,,,,,,,,,f,2020-08-14
41,5,See Saw,Race,f,,,,,,,,,,,,,,,,f,2020-08-14
57,5,Hit Parade,Race,t,Egg Scramble,Team,f,,,,,,,,,,,,,f,2020-08-15
53,5,Dizzy Heights,Race,t,Egg Scramble,Team,f,,,,,,,,,,,,,f,2020-08-14
47,5,Gate Crash,Race,t,Roll Out,Survival,t,Block Party,Survival,t,Tip Toe,Race,t,Royal Fumble,Final,t,,,,t,2020-08-14
50,5,Door Dash,Race,t,Slime Climb,Race,t,Fall Ball,Team,t,Hex-a-Gone,Final,f,,,,,,,f,2020-08-14
58,5,Gate Crash,Race,t,Tail Tag,Team,t,Fruit Chute,Race,t,Hoopsie Daisy,Team,t,Tip Toe,Race,t,Hex-a-Gone,Final,t,t,2020-08-15
54,5,Hit Parade,Race,f,,,,,,,,,,,,,,,,f,2020-08-14
55,5,Dizzy Heights,Race,t,See Saw,Race,f,,,,,,,,,,,,,f,2020-08-14
63,5,Dizzy Heights,Race,t,Perfect Match,Logic,t,Jump Club,Survival,f,,,,,,,,,,f,2020-08-15
59,5,Door Dash,Race,t,Perfect Match,Logic,t,Roll Out,Survival,t,Block Party,Survival,f,,,,,,,f,2020-08-15
61,5,Gate Crash,Race,t,Hoarders,Team,t,Tip Toe,Race,t,Rock n Roll,Team,t,Fall Mountain,Final,f,,,,f,2020-08-15
60,5,Dizzy Heights,Race,t,Perfect Match,Logic,t,Slime Climb,Race,t,Tip Toe,Race,f,,,,,,,f,2020-08-15
62,5,See Saw,Race,t,Roll Out,Survival,f,,,,,,,,,,,,,f,2020-08-15
65,5,Dizzy Heights,Race,t,The Whirlygig,Race,t,Perfect Match,Logic,t,Block Party,Survival,t,Hex-a-Gone,Final,t,,,,t,2020-08-15
64,5,Gate Crash,Race,t,The Whirlygig,Race,t,Fruit Chute,Race,t,Block Party,Survival,f,,,,,,,f,2020-08-15
218,5,The Whirlygig,Race,t,Hoarders,Team,t,Tail Tag,Hunt,f,,,,,,,,,,f,2020-08-20
27,5,Door Dash,Race,t,Hit Parade,Race,t,Fruit Chute,Race,t,Fall Ball,Team,f,,,,,,,f,2020-08-13
68,5,The Whirlygig,Race,t,Perfect Match,Logic,t,Tail Tag,Team,f,,,,,,,,,,f,2020-08-15
103,5,See Saw,Race,t,Hoarders,Team,t,Block Party,Survival,t,Tip Toe,Race,t,Fall Mountain,Final,f,,,,f,2020-08-17
88,5,The Whirlygig,Race,t,Tail Tag,Team,t,Jump Club,Survival,t,Tip Toe,Race,t,Fall Mountain,Final,t,,,,t,2020-08-17
70,5,The Whirlygig,Race,t,Slime Climb,Race,t,Fall Ball,Team,t,Royal Fumble,Final,t,,,,,,,t,2020-08-15
104,5,Dizzy Heights,Race,t,See Saw,Race,t,Egg Scramble,Team,t,Rock n Roll,Team,t,Jump Showdown,Final,t,,,,t,2020-08-17
89,5,Dizzy Heights,Race,t,Perfect Match,Logic,t,Roll Out,Survival,t,Hoopsie Daisy,Team,t,Fall Mountain,Final,f,,,,f,2020-08-17
90,5,The Whirlygig,Race,t,Hit Parade,Race,t,Perfect Match,Logic,t,Block Party,Survival,f,,,,,,,f,2020-08-17
131,5,Hit Parade,Race,t,Tail Tag,Team,t,Slime Climb,Race,t,Rock n Roll,Team,t,Hex-a-Gone,Final,t,,,,t,2020-08-18
105,5,Gate Crash,Race,t,Hit Parade,Race,t,Perfect Match,Logic,t,Egg Scramble,Team,t,Hex-a-Gone,Final,f,,,,f,2020-08-17
91,5,Dizzy Heights,Race,t,Hit Parade,Race,t,Slime Climb,Race,t,Rock n Roll,Team,t,Fall Mountain,Final,f,,,,f,2020-08-17
129,5,Hit Parade,Race,t,Dizzy Heights,Race,t,Fruit Chute,Race,t,Rock n Roll,Team,t,Fall Mountain,Final,t,,,,t,2020-08-18
139,5,Gate Crash,Race,t,Door Dash,Race,t,Roll Out,Survival,t,Hoopsie Daisy,Team,t,Fall Mountain,Final,f,,,,f,2020-08-18
132,5,The Whirlygig,Race,t,Slime Climb,Race,f,,,,,,,,,,,,,f,2020-08-18
92,5,Gate Crash,Race,t,Tail Tag,Team,t,Perfect Match,Logic,t,Block Party,Survival,t,Hex-a-Gone,Final,f,,,,f,2020-08-17
93,5,Hit Parade,Race,t,,,,,,,,,,,,,,,,f,2020-08-17
152,5,Hit Parade,Race,t,Hoarders,Team,t,Hoopsie Daisy,Team,t,Tip Toe,Race,f,,,,,,,f,2020-08-18
94,5,Door Dash,Race,t,Hoarders,Team,t,Block Party,Survival,t,Hex-a-Gone,Final,f,,,,,,,f,2020-08-17
201,5,See Saw,Race,t,Jinxed,Team,f,,,,,,,,,,,,,f,2020-08-20
134,5,The Whirlygig,Race,t,Roll Out,Survival,t,Block Party,Survival,f,,,,,,,,,,f,2020-08-18
196,5,Dizzy Heights,Race,t,Gate Crash,Race,t,Egg Scramble,Team,t,Block Party,Survival,t,Hex-a-Gone,Final,t,,,,t,2020-08-20
162,5,Dizzy Heights,Race,t,Hit Parade,Race,t,Egg Scramble,Team,t,Block Party,Survival,t,Hex-a-Gone,Final,f,,,,f,2020-08-18
158,5,Dizzy Heights,Race,t,Door Dash,Race,t,Slime Climb,Race,t,Hex-a-Gone,Final,f,,,,,,,f,2020-08-18
191,5,Dizzy Heights,Race,t,Perfect Match,Logic,t,Tail Tag,Team,t,Block Party,Survival,t,Tip Toe,Race,t,Hex-a-Gone,Final,t,t,2020-08-19
159,5,Door Dash,Race,t,Jinxed,Team,t,Tip Toe,Race,t,Fall Mountain,Final,t,,,,,,,t,2020-08-18
137,5,The Whirlygig,Race,t,Egg Scramble,Team,t,Block Party,Survival,t,Tip Toe,Race,t,Fall Ball,Team,t,Fall Mountain,Final,t,t,2020-08-18
